userName,content,score,at,sentimen
Rahman Ab,baguss👍🏻👍🏻👍🏻👍🏻,5,2025-11-14 06:30:40,Positif
Pengguna Google,bagus mantap,5,2025-11-16 05:32:28,Positif
Ananda Dwi Atmaja,bagusss,5,2025-11-15 10:26:10,Positif
Pengguna Google,👍🏻👍🏻,4,2025-11-29 11:11:06,Positif
Pengguna Google,"maaf saya hapus, banyak JAWA nya anjir lah, auto bintang 1",1,2025-11-29 17:41:07,Negatif
Pengguna Google,ingin mengkreasikan foto & video tapi bingung akhirnya nemu capcut yang menyediakan berbagai cara edit dan template tapi filter dan lain² itu premium/pro minta tolong dibuka sedikit demi sedikit ya terima kasih,4,2025-11-16 07:31:15,Positif
Pengguna Google,"bagus hanya kurang cepat saja, jika tidak lemot mungkin akan lebih banyak lagi yang mendownload",5,2025-11-23 09:36:25,Positif
Pengguna Google,lumayan bagus dan agak,5,2025-11-22 12:10:38,Positif
Pengguna Google,hidup cangcut,5,2025-11-20 06:47:31,Positif
Pengguna Google,banyak iklan jelek' capcut sekng,1,2025-11-28 12:02:40,Negatif
Pengguna Google,mau ngedit foto/video malah semua nya di bayar mana ad yg mw ku edit malah semua nya bayar gimana sih mana uang ku gk ad terus semua nya di harus dibayar gimana sih masah aku harus bayar dlu terus suara yg aku suka malah di bayar gimana sih gk usah pake bayar uang gk ad nih!!,5,2025-11-19 07:16:21,Positif
Pengguna Google,sangat membantu saya dalam membuat video,5,2025-11-29 13:17:51,Positif
Pengguna Google,Oi kurang in iklan ny kami yg lcd ny gampang mencet sendiri kasian i kami oiii,5,2025-11-17 15:42:33,Positif
Pengguna Google,"izin bertanya, kenapa tiba-tiba capcut saya menjadi akun pro? padahal saya tidak pernah langganan sekalipun. apakah ini merupakan hadiah atau apa? sedikit membuat panik.",4,2025-11-21 07:36:05,Positif
Pengguna Google,"greget banget Ama iklan sumpaa,",2,2025-11-27 12:51:09,Negatif
Pengguna Google,"PAAN SIIIIIIIII UDH 10× DOWNLOAD GA BISA MULUUUUUUUUUUUUUU, HUAAA KESEL UDH NUNGGU²IN LAMA JUGA GA ISO ISO PADAHL MEMO KU GA PENUH...😞 TAPI IT'S OK...",4,2025-11-17 00:46:03,Positif
Pengguna Google,keren bang aplikasiny aku suka,5,2025-11-20 13:55:05,Positif
Pengguna Google,sngat memuaskan,5,2025-11-24 03:51:32,Positif
Pengguna Google,Capcut kikir,1,2025-11-26 11:13:44,Negatif
Pengguna Google,gak bisa di download,1,2025-11-29 04:53:39,Negatif
Pengguna Google,capcut ini sangat kikir,5,2025-11-24 12:58:34,Positif
Pengguna Google,capcut sekarang makin pelit apa apa bayar.okelah ngak ada yg gratisan tapi ngak gitu jugalah cut. dulu untuk simpan video aja iklannya masih mendingan 5detik doang. lah sekarang untuk menyimpan 1 video gratis durasi 10 detik aja iklannya hampir 60detik....hmmmmm dahlah.,5,2025-11-27 16:40:18,Positif
Pengguna Google,wajah di video dari foto terlalu jelek...,4,2025-11-19 11:29:55,Positif
Pengguna Google,baik,5,2025-11-21 15:51:59,Positif
Pengguna Google,"update nya gak. bisa tumpuk foto harus premium, dah lah beralih aja, saran saya kalo. cari gratisan jangan di aplikasi ini",5,2025-11-19 05:36:05,Positif
Pengguna Google,ga sekalian kasi iklan 1 jam,1,2025-11-29 05:04:24,Negatif
Pengguna Google,"pembayaran capcut video e maksudnya apa ya? ini kok saldo tiba"" kepotong, saya tidak pernah berlangganan disini.",1,2025-11-27 16:33:22,Negatif
Pengguna Google,keren,5,2025-11-23 22:09:40,Positif
Pengguna Google,bagus banget,5,2025-11-17 12:20:22,Positif
